NodeID NodeType IfIndex Up Delay Bw DnodeID
79 1 12 1 1000 400000000000 83
79 1 11 1 1000 400000000000 82
79 1 10 1 1000 400000000000 81
79 1 9 1 1000 400000000000 80
79 1 8 1 1000 400000000000 71
79 1 7 1 1000 400000000000 70
79 1 6 1 1000 400000000000 69
79 1 5 1 1000 400000000000 68
79 1 4 1 1000 400000000000 67
79 1 3 1 1000 400000000000 66
79 1 2 1 1000 400000000000 65
79 1 1 1 1000 400000000000 64
80 1 8 1 1000 400000000000 79
80 1 7 1 1000 400000000000 78
80 1 6 1 1000 400000000000 77
80 1 5 1 1000 400000000000 76
80 1 4 1 1000 400000000000 75
80 1 3 1 1000 400000000000 74
80 1 2 1 1000 400000000000 73
80 1 1 1 1000 400000000000 72
81 1 8 1 1000 400000000000 79
81 1 7 1 1000 400000000000 78
81 1 6 1 1000 400000000000 77
81 1 5 1 1000 400000000000 76
81 1 4 1 1000 400000000000 75
81 1 3 1 1000 400000000000 74
81 1 2 1 1000 400000000000 73
81 1 1 1 1000 400000000000 72
82 1 8 1 1000 400000000000 79
82 1 7 1 1000 400000000000 78
82 1 6 1 1000 400000000000 77
82 1 5 1 1000 400000000000 76
82 1 4 1 1000 400000000000 75
82 1 3 1 1000 400000000000 74
82 1 2 1 1000 400000000000 73
82 1 1 1 1000 400000000000 72
83 1 8 1 1000 400000000000 79
83 1 7 1 1000 400000000000 78
83 1 6 1 1000 400000000000 77
83 1 5 1 1000 400000000000 76
83 1 4 1 1000 400000000000 75
83 1 3 1 1000 400000000000 74
83 1 2 1 1000 400000000000 73
83 1 1 1 1000 400000000000 72
